Total Value: 1128
Total Weight: 1497
Item	Value	Weight
3	24	100
7	36	20
8	38	84
15	19	59
17	27	6
20	5	22
22	21	63
23	7	56
24	23	13
25	45	17
26	18	1
29	44	16
31	3	2
32	8	12
35	23	4
37	35	87
39	32	84
41	34	63
42	44	1
43	24	38
48	34	25
53	25	69
55	47	99
56	20	9
57	6	26
59	35	9
63	39	15
65	21	36
66	26	48
68	33	15
71	5	17
77	46	27
79	50	25
80	44	32
83	50	80
84	26	93
85	44	18
86	4	52
94	19	9
96	28	6
99	16	39
